Observation id,May 1622-1601 puzzle box day 5,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,,,,,,,
Player #1,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid2.MTS,,,,,,,
,,,,,,,,
Observation date,2020-06-19 07:00:04,,,,,,,
,,,,,,,,
Description,Day 5 of may puzzle box trials for female 1622 and male 1601 in 7.1 with pups,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
1355.854,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,STOP
2566.022,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,START
2637.166,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,1m,,,START
2729.187,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,1m,,,STOP
2732.254,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,STOP
3130.347,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,START
3134.926,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,START
3152.536,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
3204.656,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
3206.202,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,STOP
3207.731,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,STOP
4703.797,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,START
4704.560,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,START
4712.205,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
4773.569,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
4775.091,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
4821.878,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,START
4830.314,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
4848.737,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,STOP
4851.034,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,STOP
4890.178,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,START
4900.923,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
4998.124,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
5027.248,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,STOP
5046.368,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,STOP
5248.764,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,START
5255.671,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,START
5268.662,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,STOP
5276.290,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,STOP
5391.202,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,START
5417.308,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,START
5428.779,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
5515.539,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
