Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
4890.31,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,START
4891.846,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
4996.412,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
5024.108,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,STOP
5044.36,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
5243.728,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,START
5248.868,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,START
5266.679,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,STOP
5275.763,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
5381.833,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,START
5416.769,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,START
5421.875,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
5510.027,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
5516.103,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
5527.443,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
5532.485,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
5535.083,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
5537.589,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,STOP
5547.893,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
6352.062,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,START
6399.982,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,START
6406.058,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
6440.952,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Solve,,,POINT
6443.355,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
6443.89,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,STOP
6466.846,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
6669.285,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,START
6682.261,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,START
6687.637,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
6747.379,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
6749.67,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,STOP
6755.772,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
