,Aggression,Eating,Foraging,Locomoting,Neutral Social,Play,Resting,Standing,IntCar,InvCar,Other,Out of sight,Scent Marking,Stereotyping,subject,date,Month
July 1802 car feeding obs 1 moving.csv,0,0,0,110.799,0,0,0,47.807,0,0,0,9.798,0,0,1802,7/1/2020,July
July 1802 car feeding obs 2 moving.csv,0,0,0,68.963,0,0,0,37.754,0,0,0,0,0,0,1802,7/6/2020,July
July 1802 car feeding obs 3 moving.csv,0,0,0,54.192,0,0,0,31.875,0,0,0,119.683,0,0,1802,7/13/2020,July
July 1802 car feeding obs 4 moving.csv,0,0,4.026,42.074,0,0,0,0,0,0,0,37.377,0,0,1802,7/22/2020,July
July 1803 car feeding obs 1.csv,0,22.204,672.427,113.488,0,0,0,71.432,0,0,0,20.32,0,0,1803,7/1/2020,July
July 1803 car feeding obs 2.csv,0,15.117,239.157,364.252,0,0,0,252.843,0,0,0,26.032,0,0,1803,7/6/2020,July
July 1803 car feeding obs 4.csv,0,13.204,657.826,141.07,0,0,0,62.755,0,0,0,25.031,0,0,1803,7/22/2020,July
July 1820 car feeding obs 1 moving.csv,0,3.162,50.995,93.062,0,0,0,52.133,25.743,0,0,0,0,0,1820,7/1/2020,July
July 1820 car feeding obs 2 moving.csv,0,2.022,40.917,104.41,0,0,0,59.262,8.057,3.455,0,106.334,0,0,1820,7/13/2020,July
July 1820 car feeding obs 3 moving.csv,0,0.867,75.176,376.826,0,0,0,189.323,16.321,8.064,0,233.228,0,0,1820,7/15/2020,July
July 1820 car feeding obs 4 moving.csv,0,2.015,113.809,423.828,0,0,0,310.953,18.935,1.728,0,28.532,0,0,1820,7/22/2020,July
July 1841 car feeding obs 1 moving.csv,0,0.772,41.299,166.946,0,0,0,13.442,0,0,0,1.922,0,0,1841,7/1/2020,July
July 1841 car feeding obs 2 moving.csv,0,0,71.741,137.456,0,0,0,91.446,0,0,0,17.573,0,0,1841,7/13/2020,July
July 1841 car feeding obs 3 moving.csv,0,0,137.456,263.517,0,0,0,54.439,0,0,0,443.731,0,0,1841,7/15/2020,July
July 1841 car feeding obs 4 moving.csv,0,0.769,301.248,287.204,0,0,0.864,128.524,0,0,0,181.268,0,0,1841,7/22/2020,July
July 1842 car feeding obs 1.csv,0,0,59.733,379.345,0,0,0,458.008,0,0,0,2.799,0,0,1842,7/1/2020,July
July 1842 car feeding obs 2.csv,0,0,0,435.698,0,0,0,464.212,0,0,0,0,0,0,1842,7/6/2020,July
July 1842 car feeding obs 3.csv,0,0,0,0,0,0,0,32.128,0,0,0,867.87,0,0,1842,7/13/2020,July
July 1842 car feeding obs 4.csv,0,0,0,25.809,0,0,0,148.461,0,0,0,725.722,0,0,1842,7/22/2020,July
July 1850 car feeding obs 1.csv,0,39.023,186.461,246.12,0,0,191.994,196.584,28.815,0,0,10.901,0,0,1850,7/1/2020,July
July 1850 car feeding obs 2.csv,0,24.51,56.537,459.996,0,0,0,306.176,35.022,0,0,16.416,0,0,1850,7/6/2020,July
July 1850 car feeding obs 4.csv,0,24.22,291.804,191.445,0,0,0,313.548,38.504,2.595,0,33.526,0,0,1850,7/22/2020,July
July 1851 car feeding obs 1.csv,0,45.919,314.249,321.201,0,0,0,129.83,77.462,2.706,0,8.506,0,0,1851,7/1/2020,July
July 1851 car feeding obs 2.csv,0,17.619,334.457,349.805,0,0,0,146.001,28.634,2.906,0,19.815,0,0,1851,7/6/2020,July
July 1851 car feeding obs 3.csv,0,20.126,247.3,194.768,0,0,0,118.03,33.921,0,0,285.092,0,0,1851,7/13/2020,July
July 1851 car feeding obs 4.csv,0,8.289,271.49,128.09,0,0,0,349.414,38.424,0,0,94.692,0,0,1851,7/22/2020,July
July 1853 car feeding obs 1 moving.csv,0,15.549,36.032,65.708,0,0,0,3.166,44.362,0,0,0,0,0,1853,7/1/2020,July
July 1853 car feeding obs 2 moving.csv,0,13.622,40.35,16.706,0,0,0,5.756,24.494,0,0,0,0,0,1853,7/6/2020,July
July 1853 car feeding obs 3 moving.csv,0,7.297,125.62,9.218,0,0,0,23.238,34.382,5.955,0,0,0,0,1853,7/13/2020,July
July 1853 car feeding obs 4 moving.csv,0,15.549,38.897,6.44,0,0,0,2.594,10.936,0,0,0,0,0,1853,7/22/2020,July
August 1600 car feeding obs1 moving.csv,0,0,0,137.753,0,0,0,22.076,0,0,0,740.149,0,0,1600,8/5/2020,August
August 1600 car feeding obs2.csv,0,30.01,551.218,189.438,0,0,0,111.367,0,0,0,16.715,0,0,1600,8/7/2020,August
August 1600 car feeding obs3.csv,0,5.674,372.047,191.213,2.876,0,0,141.094,0,0,0,186.95,0,0,1600,8/18/2020,August
August 1600 car feeding obs4 moving.csv,0,0,0,174.664,0,0,79.174,194.483,0,0,0,451.656,0,0,1600,8/27/2020,August
August 1601 car feeding obs1.csv,0,21.137,620.968,53.946,1.538,0,3.457,179.37,0,18.829,0,0,0,0,1601,NA,August
August 1601 car feeding obs2.csv,0,36.58,695.218,100.94,0,0,0,63.952,0,0.863,0,0,0,0,1601,8/24/2020,August
August 1601 car feeding obs3.csv,0,35.813,278.831,366.911,6.43,0,0,70.379,0,121.705,0,19.726,0,0,1601,8/26/2020,August
August 1601 car feeding obs4.csv,0,71.644,375.664,106.517,0,0,0,71.748,0,0,0,274.301,0,0,1601,8/31/2020,August
August 1602 car feeding obs1.csv,0,1.726,104.606,150.027,0,0,474.49,101.328,0,0,0,45.147,0,0,1602,8/7/2020,August
August 1602 car feeding obs2.csv,0,17.033,406.968,108.188,0,0,281.774,66.346,0,0,0,19.626,0,0,1602,8/18/2020,August
August 1602 car feeding obs3 moving.csv,0,0,0,20.357,0,0,752.814,68.57,0,0,0,58.253,0,0,1602,8/26/2020,August
August 1602 car feeding obs4 moving.csv,0,2.102,45.437,97.491,0,0,269.27,231.426,0,0,0,252.449,0,0,1602,8/27/2020,August
August 1610 car feeding obs1.csv,2.114,23.431,126.899,112.361,0,0,195.694,206.832,0,0,0,232.6,0,0,1610,8/7/2020,August
August 1610 car feeding obs2.csv,0,8.646,108.247,178.588,0,0,461.796,15.274,0,0,0,116.168,0,0,1610,8/12/2020,August
August 1610 car feeding obs3.csv,1.299,28.181,218.346,115.849,0,0,59.259,19.314,0,8.107,0,449.555,0,0,1610,8/17/2020,August
August 1610 car feeding obs4.csv,1.301,40.835,406.476,58.134,0,0,218.82,113.515,0,0,0,60.858,0,0,1610,8/31/2020,August
August 1617 car feeding obs1.csv,0,8.913,377.63,149.428,0,0,156.366,34.235,0,3.694,0,167.871,0,0,1617,8/7/2020,August
August 1617 car feeding obs2.csv,1.103,15.352,547.394,113.579,0,0,112.317,34.028,0,0,0,76.176,0,0,1617,8/18/2020,August
August 1617 car feeding obs3 moving.csv,0,7.099,58.835,183.864,0,0,392.286,148.021,0,0,0,109.819,0,0,1617,8/26/2020,August
August 1617 car feeding obs4 moving.csv,0,5.47,108.248,377.623,0,0,0,176.363,0,0,0,232.219,0,0,1617,8/27/2020,August
August 1622 car feeding obs1.csv,0,0,131.599,240.916,0,0,204.904,119.604,0,0,0,202.903,0,0,1622,8/7/2020,August
August 1622 car feeding obs2.csv,0,15.415,402.406,178.077,0,0,0,58.959,0,0,0,245.022,0,0,1622,8/24/2020,August
August 1622 car feeding obs3.csv,0,0,103.14,188.466,0,0,419.821,45.654,0,0,0,141.05,0,0,1622,8/26/2020,August
August 1622 car feeding obs4.csv,0,0,119.116,220.467,0,0,0,163.556,0,0,0,396.788,0,0,1622,8/31/2020,August
August 1623 car feeding obs1 moving.csv,0,38.612,260.527,134.825,0,0,0,114.396,0,0,0,351.532,0,0,1623,8/5/2020,August
August 1623 car feeding obs2.csv,0,19.714,131.804,189.747,0,0,0,50.536,0,0,0,508.098,0,0,1623,8/7/2020,August
August 1623 car feeding obs3.csv,0,29.32,116.286,121.012,0,0,313.315,99.988,0,0,0,220.015,0,0,1623,8/18/2020,August
August 1623 car feeding obs4 moving.csv,0,4.994,30.738,291.483,0,0,0,177.904,0,0,0,393.678,0,0,1623,8/27/2020,August
August 1703 car feeding obs1.csv,0,30.335,415.64,177.539,0,0,0,42.253,0,0,0,234.131,0,0,1703,8/7/2020,August
August 1703 car feeding obs2.csv,0,14.231,480.332,136.031,0,0,0,6.888,0,0,0,262.456,0,0,1703,8/12/2020,August
August 1703 car feeding obs3.csv,0,25.512,385.248,220.802,0,0,0,37.236,0,0,0,228.423,0,0,1703,8/17/2020,August
August 1703 car feeding obs4.csv,0,38.02,678.265,68.568,0,0,0,15.072,0,0,0,99.994,0,0,1703,8/31/2020,August
August 1802 car feeding obs1 moving.csv,0,0,12.101,95.476,0,0,0,9.507,0,0,0,6.913,0,0,1802,NA,August
August 1802 car feeding obs2 moving.csv,0,0,19.598,109.79,0,0,0,17.853,0,0,0,0,0,0,1802,NA,August
August 1802 car feeding obs3 moving.csv,0,0,5.109,50.933,0,0,0,8.51,0,0,0,0,0,0,1802,NA,August
August 1802 car feeding obs4 moving.csv,0,0,17.905,61.663,0,0,0,0,0,0,0,14.91,0,0,1802,NA,August
August 1803 car feeding obs 3.csv,1.602,12.116,614.559,185.21,0,0,0,82.11,0,0,0,4.3,0,0,1803,NA,August
August 1803 car feeding obs1.csv,0,13.902,437.157,193.233,0,0,0,241.484,0,0,0,14.113,0,0,1803,NA,August
August 1803 car feeding obs2.csv,0,22.851,493.466,211.868,0,0,0,167.641,0,0,0,2.88,0,0,1803,NA,August
August 1803 car feeding obs4.csv,0,15.083,352.682,172.095,0,0,75.696,271.216,0,0,0,12.316,0,0,1803,8/24/2020,August
August 1820 car feeding obs1 moving.csv,0,3.166,111.632,204.686,0,0,107.915,228.493,37.091,21.027,0,185.897,0,0,1820,8/7/2020,August
August 1820 car feeding obs2 moving.csv,0,2.88,81.63,409.942,0,0,0,289.306,13.926,8.643,0,90.424,0,0,1820,NA,August
August 1820 car feeding obs3 moving.csv,0,29.332,88.202,90.375,0,0,0,52.483,24.619,1.402,0,159.552,0,0,1820,NA,August
August 1820 car feeding obs4 moving.csv,0,8.06,182.699,99.211,0,0,0,45.8,16.134,0,0,62.268,0,0,1820,NA,August
August 1841 car feeding obs1 moving.csv,0,0,34.284,187.312,0,0,60.424,429.753,0,0,0,187.607,0,0,1841,8/7/2020,August
August 1841 car feeding obs2 moving.csv,0,0,64.837,174.941,0,0,0,384.708,0,0,0,275.455,0,0,1841,NA,August
August 1841 car feeding obs3 moving.csv,0,0,28.412,240.726,0,0,0,92.783,0,0,0,85.457,0,0,1841,NA,August
August 1841 car feeding obs4 moving.csv,0,12.384,151.376,128.182,0,0,0,38.046,0,0,0,65.013,0,0,1841,NA,August
August 1842 car feeding obs1.csv,0,0,0,24.813,0,0,0,25.023,0,0,0,850.151,0,0,1842,8/7/2020,August
August 1842 car feeding obs2.csv,0,0,0,10.308,0,0,0,0,0,0,0,889.69,0,0,1842,8/12/2020,August
August 1842 car feeding obs3.csv,0,0,4.043,108.872,0,0,0,260.32,0,0,0,526.726,0,0,1842,NA,August
August 1842 car feeding obs4.csv,0,1.4,42.735,103.791,0,0,150.65,39.316,0,0,0,560.86,0,0,1842,NA,August
August 1850 car feeding obs1.csv,0,17.282,104.024,113.819,0,0,611.794,31.695,12.962,0,0,8.358,0,0,1850,8/12/2020,August
August 1850 car feeding obs2.csv,0,34.842,139.597,232.863,5.064,0,356.855,72.946,25.377,0,0,32.361,0,0,1850,8/17/2020,August
August 1850 car feeding obs3.csv,0,26.909,82.169,141.793,0,0,305.705,313.634,21.108,0,0,8.608,0,0,1850,8/18/2020,August
August 1850 car feeding obs4.csv,0,9.563,64.942,131.969,0,0,642.539,23.553,16.155,0,0,11.215,0,0,1850,8/24/2020,August
August 1851 car feeding obs 2.csv,0,51.113,274.198,160.463,0.769,0,0,252.378,90.881,5.111,0,56.856,0,0,1851,8/12/2020,August
August 1851 car feeding obs1.csv,0,65.986,208.435,77.493,0,0,417.546,77.809,30.348,13.45,0,8.84,0,0,1851,NA,August
August 1851 car feeding obs3.csv,0,87.859,178.909,233.505,0,0,18.524,221.573,61.657,1.999,0,95.851,0,0,1851,NA,August
August 1851 car feeding obs4.csv,0,52.427,320.568,154.8,0,0,0,154.47,65.689,0,0,151.908,0,0,1851,NA,August
August 1853 car feeding obs1 moving.csv,0,9.207,29.975,29.472,0,0,0,15.569,38.891,0,0,0,0,0,1853,NA,August
August 1853 car feeding obs2 moving.csv,0,6.37,16.712,76.065,0,0,0,27.374,19.594,0,0,0,0,0,1853,NA,August
August 1853 car feeding obs3 moving.csv,0,8.866,28.055,1.298,0,0,0,0.495,15.12,0,0,0,0,0,1853,NA,August
August 1853 car feeding obs4 moving.csv,0,8.067,13.541,42.363,0,0,0,5.753,21.121,0,0,0,0,0,1853,NA,August
September 1600 car feeding obs 1.csv,0,23.102,533.829,133.16,1.105,0,0,147.403,0,5.607,0,55.552,0,0,1600,9/2/2020,September
September 1600 car feeding obs 2 moving.csv,0,0,84.884,124.912,0,0,0,40.918,0,0,0,649.23,0,0,1600,9/9/2020,September
September 1600 car feeding obs 3.csv,0,14.111,570.617,130.893,0,0,0,177.697,0,5.756,0,0.769,0,0,1600,9/18/2020,September
September 1600 car feeding obs 4 moving.csv,0,1.924,36.491,128.034,0,0,0,119.523,0,0,0,590.61,0,0,1600,9/21/2020,September
September 1601 car feeding obs1.csv,0,59.624,565.392,134.551,0,0,0,36.589,0,0,0,103.108,0,0,1601,9/2/2020,September
September 1601 car feeding obs2.csv,0,66.163,503.14,97.774,0,0,0,79.234,0,0,0,152.97,0,0,1601,9/9/2020,September
September 1601 car feeding obs3.csv,0,34.566,352.413,134.184,0,0,4.898,349.168,0,0,0,23.441,0,0,1601,NA,September
September 1601 car feeding obs4.csv,0,45.37,553.637,76.64,0,0,0,96.596,0,0,0,127.63,0,0,1601,9/21/2020,September
September 1602 car feeding obs 1.csv,0,17.784,582.618,117.633,0,0,0,176.66,0,0,0,5.202,0,0,1602,9/2/2020,September
September 1602 car feeding obs 2 moving.csv,0,9.807,423.646,134.783,0,0,0,143.891,0,0,0,183.875,0,0,1602,9/9/2020,September
September 1602 car feeding obs 3 moving.csv,0,0,0,51.347,0,0,326.208,184.099,0,0,0,268.767,0,0,1602,NA,September
September 1602 car feeding obs 4.csv,0,16.781,639.096,44.273,0,0,0,64.433,0,0,0,134.532,0,0,1602,9/30/2020,September
September 1610 car feeding obs 1.csv,0,19.121,195.071,63.225,0,0,0,39.631,0,0,0,529.934,0,0,1610,9/7/2020,September
September 1610 car feeding obs 2.csv,0,22.417,324.781,61.663,0,0,0,38.136,0,0,0,447.747,0,0,1610,9/9/2020,September
September 1610 car feeding obs 3.csv,0,15.156,114.892,94.977,0,0,246.429,102.122,0,0,0,326.366,0,0,1610,9/15/2020,September
September 1610 car feeding obs 4.csv,0,8.3,245.935,88.68,0,0,0,168.453,0,0,0,388.585,0,0,1610,9/23/2020,September
September 1617 car feeding obs1.csv,0,26.721,350.383,107.089,0,0,69.672,191.83,0,0,0,153.219,0,0,1617,NA,September
September 1617 car feeding obs2 moving.csv,0,15.369,300.743,206.425,0,0,0,157.973,0,0,0,218.226,0,0,1617,9/9/2020,September
September 1617 car feeding obs3 moving.csv,0,2.943,102.021,232.45,0,0,0,108.553,0,0,0,267.769,0,0,1617,NA,September
September 1617 car feeding obs4.csv,0,17.857,317.289,116.214,0,0,0,97.402,0,0,0,340.274,0,0,1617,NA,September
September 1622 car feeding obs 1.csv,0,14.125,116.798,195.624,0,0,132.202,114.601,0,0,0,324.126,0,0,1622,9/2/2020,September
September 1622 car feeding obs 2.csv,0,0,16.171,156.496,0,0,0,37.143,0,0,0,689.753,0,0,1622,9/9/2020,September
September 1622 car feeding obs 3.csv,0,2.592,116.718,226.906,0,0,106.311,87.443,0,0,0,359.248,0,0,1622,9/15/2020,September
September 1622 car feeding obs 4.csv,0,9.203,395.281,168.237,0,0,0,91.254,0,0,0,235.929,0,0,1622,9/21/2020,September
September 1623 car feeding obs 3.csv,0,22.718,207.77,125.078,0,0,0,67.846,0,0,0,475.37,0,0,1623,9/18/2020,September
September 1623 car feeding obs1.csv,0,42.541,180.099,126.228,0,0,0,139.666,0,0,0,411.383,0,0,1623,9/2/2020,September
September 1623 car feeding obs2 moving.csv,0,5.206,425.517,136.591,0,0,0,38.227,0,0,0,294.402,0,0,1623,9/9/2020,September
September 1623 car feeding obs4 moving.csv,0,3.003,66.145,132.621,0,0,0,55.445,0,0,0,556.246,0,0,1623,9/21/2020,September
September 1703 car feeding obs 3.csv,0,14.893,488.745,159.251,0,0,0,51.051,0,0,0,185.989,0,0,1703,9/15/2020,September
September 1703 car feeding obs1.csv,0,36.156,461.861,201.301,0,0,0,4.999,0,0,0,195.609,0,0,1703,9/7/2020,September
September 1703 car feeding obs2.csv,0,29.206,629.005,122.696,0,0,0,2.997,0,0,0,115.707,0,0,1703,9/9/2020,September
September 1703 car feeding obs4.csv,0,20.728,588.385,141.795,0,0,0,21.798,0,0,0,127.19,0,0,1703,NA,September
September 1802 car feeding obs 1 moving.csv,0,1.152,25.06,58.5,0,0,0,1.439,0,0,0,31.409,0,0,1802,NA,September
September 1802 car feeding obs 2 moving.csv,0,0,9.503,27.29,0,0,0,0,0,0,0,0,0,0,1802,NA,September
September 1802 car feeding obs 3 moving.csv,0,0,37.738,97.981,0,0,0,0,0,0,0,28.924,0,0,1802,NA,September
September 1803 car feeding obs1.csv,0,9.695,689.288,137.024,0,0,0,40.859,0,0,0,23.021,0,0,1803,9/1/2020,September
September 1803 car feeding obs2.csv,0,15.072,592.635,173.106,0,0,0,82.599,0,0,0,36.495,0,0,1803,9/9/2020,September
September 1803 car feeding obs3.csv,0.576,20.747,628.158,135.764,0,0,0,53.586,0,0,0,37.174,0,0,1803,NA,September
September 1803 car feeding obs4.csv,0,18.73,427.271,148.128,0,0,0,303.202,0,0,0,2.307,0,0,1803,NA,September
September 1820 car feeding obs 1 moving.csv,0,1.923,121.604,314.602,0,0,0,225.319,63.279,25.933,0,146.404,0,0,1820,NA,September
September 1820 car feeding obs 2 moving.csv,0,21.317,123.719,23.676,0,0,0,5.475,9.407,0,0,21.371,0,0,1820,9/9/2020,September
September 1820 car feeding obs 3 moving.csv,0,13.205,238.604,260.393,0,0,0,189.941,49.429,0,0,147.046,0,0,1820,NA,September
September 1820 car feeding obs 4 moving.csv,0,7.85,151.897,334.463,0,0,0,101.66,88.419,0,0,181.245,0,0,1820,NA,September
September 1841 car feeding obs1 moving.csv,0,0,125.73,206.809,0,0,0,415.013,0,0,0,151.206,0,0,1841,NA,September
September 1841 car feeding obs2 moving.csv,0,3.457,45.535,97.487,0,0,0,15.265,0,0,0,42.645,0,0,1841,9/9/2020,September
September 1841 car feeding obs3 moving.csv,0,0,100.357,298.94,0,0,0,28.935,0,0,0,470.87,0,0,1841,NA,September
September 1841 car feeding obs4 moving.csv,0,0,253.505,273.308,0,0,0,140.946,0,0,0,194.523,0,0,1841,NA,September
September 1842 car feeding obs 1.csv,0,1.896,89.682,126.889,0,0,0,448.218,0,0,0,233.245,0,0,1842,9/1/2020,September
September 1842 car feeding obs 3.csv,0,0,0,22.334,0,0,0,0,0,0,0,875.767,0,0,1842,9/15/2020,September
September 1842 car feeding obs 4.csv,0,0,30.329,112.303,0,0,0,80.254,0,0,0,677.081,0,0,1842,9/21/2020,September
September 1842 car feeding obs2.csv,0,31.384,238.722,202.166,0,0,0,82.66,26.529,12.306,0,306.102,0,0,1842,NA,September
September 1850 car feeding obs 1.csv,0.769,40.05,267.208,223.592,0,0,35.642,218.073,32.752,2.877,0,73.105,0,0,1850,9/1/2020,September
September 1850 car feeding obs 2.csv,0,37.198,153.736,315.313,0,0,0,150.762,33.639,0,0,209.222,0,0,1850,9/9/2020,September
September 1850 car feeding obs 3.csv,1.503,14.211,125.521,83.15,0,0,512.508,138.033,23.318,0,0,1.701,0,0,1850,9/15/2020,September
September 1850 car feeding obs 4.csv,0,15.55,66.273,226.603,0,0,64.359,521.377,5.752,0,0,0,0,0,1850,9/21/2020,September
September 1851 car feeding obs 2.csv,0,0,0,42.748,0,0,0,27.852,0,0,0,829.389,0,0,1851,NA,September
September 1851 car feeding obs 3.csv,0,76.439,291.258,223.558,0,0,0,121.88,27.403,0,0,159.258,0,0,1851,NA,September
September 1851 car feeding obs 4.csv,0,32.115,266.032,255.122,0,0,0,78.946,0.998,0,0,266.463,0,0,1851,NA,September
September 1851 car feeding obs1.csv,0,16.744,386.75,186.122,0,0,0,231.495,18.617,1.298,0,56.953,0,0,1851,9/1/2020,September
September 1853 car feeding obs1 moving.csv,0,25.34,40.639,25.941,0,0,0,7.484,16.425,0,0,0,0,0,1853,NA,September
September 1853 car feeding obs2 moving.csv,0,8.938,13.814,0,0,0,0,3.462,7.211,0,0,0,0,0,1853,NA,September
September 1853 car feeding obs3 moving.csv,0,23.426,29.58,53.181,0,0,0,7.669,24.112,0,0,0,0,0,1853,NA,September
September 1853 car feeding obs4 moving.csv,2.4,13.9,42.765,74.096,0,0,0,30.988,45.065,0,0,0,0,0,1853,NA,September
September 1802 car feeding obs 4 moving.csv,0,0.771,44.553,92.598,0,0,0,11.139,0,0,0,62.061,0,0,1802,NA,September
October 1600 car feeding obs 1 moving playback.csv,0,0,2.878,120.046,0,0,0,283.379,0,0,0,493.653,0,0,1600,10/6/2020,October
October 1600 car feeding obs 2 playback.csv,0,0,7.206,130.342,0,0,0,172.854,0,0,0,589.568,0,0,1600,NA,October
October 1600 car feeding obs3 moving playback.csv,0,0.573,13.26,168.139,0,0,0,326.12,0,0,0,391.862,0,0,1600,NA,October
October 1600 car feeding obs4 playback.csv,0,8.446,515.046,137.294,0,0,0,181.761,0,0,0,54.182,0,0,1600,10/26/2020,October
October 1601 car feeding obs1.csv,0,27.104,448.76,88.089,0,0,0,77.709,0,0,0,257.363,0,0,1601,10/6/2020,October
October 1601 car feeding obs2.csv,0.996,18.424,705.853,46.931,0,0,0,126.869,0,0,0,0,0,0,1601,10/13/2020,October
October 1601 car feeding obs3.csv,0,44.419,544.227,100.752,1.2,0,0,117.616,0,0,0,91.591,0,0,1601,10/20/2020,October
October 1601 car feeding obs4.csv,0,25.223,409.538,107.73,0,0,0,130.321,0,0,0,227.025,0,0,1601,10/26/2020,October
October 1602 car feeding obs 1 moving playback.csv,0,0,0,14.696,0,0,804.122,81.177,0,0,0,0,0,0,1602,10/6/2020,October
October 1602 car feeding obs 2 playback.csv,0,0,7.686,33.536,0,0,0,43.3,0,0,0,815.462,0,0,1602,NA,October
October 1602 car feeding obs 3 moving playback.csv,0,0,9.109,161.347,18.324,0,297.798,391.618,0,0,0,20.81,0,0,1602,10/20/2020,October
October 1602 car feeding obs4 playback.csv,16.433,0.765,91.069,70.468,0,19.212,185.903,318.943,0,0,0,196.076,0,0,1602,NA,October
October 1610 car feeding obs 1.csv,0,11.939,132.151,64.384,0,0,0,10.608,0,0,0,680.876,0,0,1610,10/6/2020,October
October 1610 car feeding obs 2.csv,0,12.241,139.592,64.244,0,0,0,208.909,0,0,0,474.97,0,0,1610,10/13/2020,October
October 1610 car feeding obs 3.csv,0,11.985,101.417,80.965,0,0,254.744,450.833,0,0,0,0,0,0,1610,10/20/2020,October
October 1610 car feeding obs4.csv,0,12.393,121.607,36.735,0,0,241.64,115.295,0,0,0,372.277,0,0,1610,10/26/2020,October
October 1617 car feeding obs1 moving playback.csv,0,0,0,254.153,0,0,171.947,317.933,0,0,0,155.912,0,0,1617,NA,October
October 1617 car feeding obs2 playback.csv,0,0,8.906,76.677,0,0,0,60.433,0,0,0,753.958,0,0,1617,NA,October
October 1617 car feeding obs3 moving playback.csv,0,0,0,247.171,15.66,0,233.382,399.125,0,0,0,3.165,0,0,1617,10/20/2020,October
October 1617 car feeding obs4 playback.csv,0,24.22,229.545,249.279,0,24.264,124.625,196.216,0,0,0,51.553,0,0,1617,NA,October
October 1622 car feeding obs 1.csv,0,14.722,251.856,133.143,0,0,0,110.846,0,0,0,389.322,0,0,1622,10/6/2020,October
October 1622 car feeding obs 2.csv,0,19.386,702.642,107.168,0,0,0,70.691,0,0,0,0,0,0,1622,10/13/2020,October
October 1622 car feeding obs 3.csv,0,2.066,80.049,116.376,0,0,0,23.351,0,0,0,678.104,0,0,1622,10/20/2020,October
October 1622 car feeding obs4.csv,0,0,38.33,215.629,0,0,0,206.377,0,0,0,439.605,0,0,1622,10/26/2020,October
October 1623 car feeding obs1 moving playback.csv,0,0,121.832,320.131,0,0,0,240.325,0,0,0,217.597,0,0,1623,10/6/2020,October
October 1623 car feeding obs2 playback.csv,0,0,13.546,166.305,0,0,0,103.643,0,0,0,616.477,0,0,1623,NA,October
October 1623 car feeding obs3 moving playback.csv,4.902,48.766,83.372,186.561,0,0,0,97.843,0,0,0,478.477,0,0,1623,NA,October
October 1623 car feeding obs4 playback.csv,2.5,8.337,174.445,149.844,0,0,0,87.404,0,0,0,477.38,0,0,1623,10/26/2020,October
October 1703 car feeding obs1.csv,0,14.514,664.258,105.003,0,0,0,20.079,0,0,0,95.573,0,0,1703,10/6/2020,October
October 1703 car feeding obs2.csv,0,21.007,475.447,113.999,0,0,0,15.91,0,0,0,273.273,0,0,1703,10/13/2020,October
October 1703 car feeding obs3.csv,0,3.743,527.477,208.102,0,0,0,8.159,0,0,0,152.447,0,0,1703,10/20/2020,October
October 1703 car feeding obs4.csv,1.295,13.406,425.887,220.794,0,0,0,29.919,0,0,0,204.899,0,0,1703,10/26/2020,October
October 1802 car feeding obs 1 moving playback.csv,0,1.921,51.879,74.787,0,0,0,1.152,0,0,0,13.638,0,0,1802,NA,October
October 1802 car feeding obs 2 moving playback.csv,0,0,0,24.395,0,0,0,0.575,0,0,0,24.242,0,0,1802,NA,October
October 1802 car feeding obs 3 moving playback.csv,0,0.762,101.805,78.189,0,0,0,0,0,0,0,18.445,0,0,1802,NA,October
October 1802 car feeding obs4 moving playback.csv,0,0,20.452,33.425,0,0,0,0,0,0,0,0,0,0,1802,NA,October
October 1803 car feeding obs1.csv,0,12.814,722.198,88.704,0,0,0,76.179,0,0,0,0,0,0,1803,10/6/2020,October
October 1803 car feeding obs2.csv,2.016,19.866,751.089,81.063,0,0,0,45.231,0,0,0,0,0,0,1803,10/13/2020,October
October 1803 car feeding obs3.csv,0,19.574,771.167,68.272,0,0,0,40.582,0,0,0,0,0,0,1803,10/20/2020,October
October 1803 car feeding obs4.csv,0,21.03,667.623,125.612,0,0,0,85.602,0,0,0,0,0,0,1803,10/26/2020,October
October 1820 car feeding obs 1 moving playback.csv,0,11.045,149.535,232.504,0,0,0,202.083,29.97,2.689,0,105.878,0,0,1820,NA,October
October 1820 car feeding obs 2 moving playback.csv,0,29.58,194.922,216.993,0,0,0,147.319,114.598,3.072,0,193.36,0,0,1820,NA,October
October 1820 car feeding obs3 moving playback.csv,0,37.609,258.477,269.765,0,0,0,145.962,174.626,3.849,0,0,0,0,1820,NA,October
October 1820 car feeding obs4 moving playback.csv,0,35.041,229.984,295.953,0,0,0,248.75,89.895,0,0,0,0,0,1820,NA,October
October 1841 car feeding obs1 moving playback.csv,0,0,129.881,259.58,0,0,0,254.302,0,0,0,107.504,0,0,1841,NA,October
October 1841 car feeding obs2 moving playback.csv,0,17.194,195.961,228.276,0,0,0,321.022,0,0,0,137.421,0,0,1841,NA,October
October 1841 car feeding obs3 moving playback.csv,0,7.3,246.103,281.919,0,0,0,333.062,0,0,0,30.348,0,0,1841,NA,October
October 1841 car feeding obs4 moving playback.csv,0,0,26.921,239.709,0,0,114.107,257.944,0,0,0,261.241,0,0,1841,NA,October
October 1842 car feeding obs 3.csv,0,0,25.299,105.628,0,0,0,94.361,0,0,0,674.665,0,0,1842,10/20/2020,October
