,1m,5m,Int,Tou,Solve,Total,Pair,subject,day,month
118,77.547,0.536,0,0,0,8916.69,1842-1851,1851,6,Pretrial
119,35.737,4.321,0,0,0,3861.43,1842-1851,1851,7,Pretrial
120,87.675,20.154,0,0,0,8123.38,1842-1851,1851,8,Pretrial
121,0,39.746,0,0,0,6006.11,1850-1803,1803,1,Pretrial
122,0,517.901,0,0,0,6115.37,1850-1803,1803,2,Pretrial
123,0,0.2,0,0,0,3446.64,1850-1803,1803,3,Pretrial
124,0,0.301,0,0,0,6085.04,1850-1803,1803,4,Pretrial
125,0,0.2,0,0,0,6634.83,1850-1803,1803,5,Pretrial
126,0,49.94,0,0,0,4194.19,1850-1803,1803,6,Pretrial
127,0,0.199,0,0,0,4219.89,1850-1803,1803,7,Pretrial
128,0,186.494,0,0,0,5325.99,1850-1803,1803,8,Pretrial
1,538.746,1155.308,0,0,0,9162.96,1600-1623,1600,1,February
2,95.773,365.979,0,0,0,3948.58,1600-1623,1600,2,February
3,17.707,387.328,0,0,0,3832.91,1600-1623,1600,3,February
4,48.286,365.575,0,0,0,7703.9,1600-1623,1600,4,February
5,49.012,227.086,0,0,0,8261.04,1600-1623,1600,5,February
6,13.841,118.154,0,0,0,9392.66,1600-1623,1600,6,February
7,95.466,559.387,0,0,0,8374.64,1600-1623,1600,7,February
8,14.651,119.939,0,0,0,7815.57,1600-1623,1600,8,February
9,0,15.27,0,0,0,7810.58,1602-1617,1602,1,February
10,0,0,0,0,0,7753.95,1602-1617,1602,2,February
11,30.36,456.288,0,0,0,8263.03,1602-1617,1602,3,February
12,0,13.637,0,0,0,9292.08,1602-1617,1602,4,February
13,16.916,91.065,0,0,0,8395.16,1602-1617,1602,5,February
14,0,167.556,0,0,0,7034.27,1602-1617,1602,6,February
15,0,100.739,0,0,0,7574.27,1602-1617,1602,7,February
16,79.126,715.429,0,0,0,7615.81,1602-1617,1602,8,February
17,0,9.602,0,0,0,6998.17,1610-1703,1610,1,February
18,0,33.5,0,0,0,7461.66,1610-1703,1610,2,February
19,0,20.184,0,0,0,8049.3,1610-1703,1610,3,February
20,0,22.683,0,0,0,8422.68,1610-1703,1610,4,February
21,0,181.221,0,0,0,8178.45,1610-1703,1610,5,February
22,1.352,241.819,0,0,0,7316.51,1610-1703,1610,6,February
23,12.139,321.413,0,0,0,7665.85,1610-1703,1610,7,February
24,19.512,888.155,0,0,0,7572.77,1610-1703,1610,8,February
25,0,120.996,0,0,0,6519.19,1622-1601,1622,1,February
26,0,0.288,0,0,0,3742.8,1622-1601,1622,2,February
27,0,141.918,0,0,0,3885.46,1622-1601,1622,3,February
28,0,14.684,0,0,0,7839.6,1622-1601,1622,4,February
29,0,18.213,0,0,0,7661.37,1622-1601,1622,5,February
30,0,0,0,0,0,8458.71,1622-1601,1622,6,February
31,0,87.408,0,0,0,8086.87,1622-1601,1622,7,February
32,0,97.434,0,0,0,8573.84,1622-1601,1622,8,February
33,0.382,229.87,0,0,0,8495.79,1802-1853,1802,1,February
34,5.807,452.315,0,0,0,6204.88,1802-1853,1802,2,February
35,23.848,561.479,0,0,0,6801.71,1802-1853,1802,3,February
36,16.827,238.345,0,0,0,5503.17,1802-1853,1802,4,February
37,1.502,337.879,0,0,0,5853.52,1802-1853,1802,5,February
38,12.61,423.961,0,0,0,5793.49,1802-1853,1802,6,February
39,52.68,597.948,0,0,0,5962.12,1802-1853,1802,7,February
40,0,236.104,0,0,0,6635.79,1802-1853,1802,8,February
41,16.716,245.986,0,0,0,6382.03,1820-1841,1820,1,February
42,113.118,807.129,0,0,0,6975.14,1820-1841,1820,2,February
43,37.236,840.958,0,0,0,6359.99,1820-1841,1820,3,February
44,38.633,416.322,0,0,0,6412.58,1820-1841,1820,4,February
45,257.26,504.487,0,0,0,5727.4,1820-1841,1820,5,February
46,28.943,983.042,0,0,0,6680.35,1820-1841,1820,6,February
47,34.536,502.789,0,0,0,6613.29,1820-1841,1820,7,February
48,159.778,434.723,0,0,0,5821.03,1820-1841,1820,8,February
49,0,0,0,0,0,9366.16,1842-1851,1842,1,February
50,0,0,0,0,0,5759.45,1842-1851,1842,2,February
51,0,0,0,0,0,5792.99,1842-1851,1842,3,February
52,0,0,0,0,0,5079.75,1842-1851,1842,4,February
53,0,0,0,0,0,6448.15,1842-1851,1842,5,February
54,0,0,0,0,0,5133.31,1842-1851,1842,6,February
